name,slug,sport,level,state,city,venue,address,start_date,end_date,referee_pay,referee_contact,source_url,source_domain,summary,status,confidence,run_id,updated_at
ECNL,ecnl-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/ecnl/,usclubsoccer.org,"US Club Soccer is proud to sanction the Elite Clubs National League (ECNL) as a top, league-based platform for both girls and boys players.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Youth Competitive Leagues,youth-competitive-leagues-youth-competitive-leaguesother-youth-competitive-leaguesbeyond-the-national-premier-leagues-and-ecnl-us,soccer,national,US,Youth Competitive LeaguesOTHER YOUTH COMPETITIVE LEAGUESBeyond the National Premier Leagues and ECNL,,,,,,,https://usclubsoccer.org/programs/leagues/youth-competitive-leagues/,usclubsoccer.org,"OTHER YOUTH COMPETITIVE LEAGUES Beyond the National Premier Leagues and ECNL, US Club Soccer sanctions leagues throughout the country for various age groups, competitive levels and geographic sizes and areas. Our league offerings allow for the ability to set up Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Recreation & Community,recreation-community-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/programs/leagues/recreation-community/,usclubsoccer.org,"REC AND COMMUNITY PROGRAMS US Club Soccer offers recreational (“rec”) membership to youth clubs, leagues or programs that are primarily in-house or intramural in nature. Rec programs may be part of an existing (competitive) club, or they may be an Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
U-23 and Adult,u-23-and-adult-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/programs/leagues/u-23-and-adult/,usclubsoccer.org,"In US Club Soccer, you can be a member for life — maintaining membership as a youth player to an adult. US Club Soccer sanctions adult leagues and competitions and offers adult registration for its members. For this purpose, adult Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Sanction Your League,sanction-your-league-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/sanction-your-league/,usclubsoccer.org,"NEW APPLICANTS To apply to sanction your league or rec program with US Club Soccer, please submit the following documents via email to your applicable General Manager. A completed and signed US Club Soccer league/rec program sanctioning application Bylaws/policies Disciplinary rules/procedures Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Cups / Tournaments,cups-tournaments-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/programs/cups-tournaments/,usclubsoccer.org,"774 S Shelmore Blvd Ste 104; Mount Pleasant, SC 29464",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
National Cup - US Club Soccer Website,national-cup-us-club-soccer-website-south-central-regionalweb-page-tulsa-ok,soccer,national,OK,South Central RegionalWeb page Tulsa,,,,,,,https://usclubsoccer.org/nationalcup/,usclubsoccer.org,The National Cup is US Club Soccer's cup-based championship competition.,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
VENUE,venue-th-st-ntulsa-ok,soccer,national,OK,th St NTulsa,,,,,,,https://usclubsoccer.org/south-central-regional/,usclubsoccer.org,"VENUE Mohawk Sports Complex 3500 E 56th St NTulsa, OK 74117 Field Map REGISTRATION Mark your calendars: Registration for all 2026 National Cup Regionals will open Jan. 5, and teams will be accepted on a first-come, first-served basis. Open to Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Midwest Regional - US Club Soccer Website,midwest-regional-us-club-soccer-website-w-beach-rdwaukegan-il,soccer,national,IL,W Beach RdWaukegan,,,,,,,https://usclubsoccer.org/midwest-regional/,usclubsoccer.org,"VENUES Waukegan Sports Park3391 W Beach RdWaukegan, IL 60087 Field Map Libertyville Township Soccer Complex30080 Technology WayLibertyville, IL 60048 Field Map REGISTRATION Mark your calendars: Registration for all 2026 National Cup Regionals will open Jan. 5, and teams will be Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Southeast Regional - US Club Soccer Website,southeast-regional-us-club-soccer-website-bermuda-run-nc,soccer,national,NC,Bermuda Run,,,,,,,https://usclubsoccer.org/southeast-regional/,usclubsoccer.org,"VENUE Truist Sports Park 428 Twins Way, Bermuda Run, NC 27006 Field Map Parking Map REGISTRATION Mark your calendars: Registration for all 2026 National Cup Regionals will open Jan. 5, and teams will be accepted on a first-come, first-served basis. Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
